step,reward,eval_type,seed
50176,986.0,pi,2
50176,465.4,mppi,2
50176,2493.0,jumpy,2
100096,1482.3,pi,2
100096,1740.6,mppi,2
100096,2631.1,jumpy,2
150016,2067.7,pi,2
150016,1074.7,mppi,2
150016,2718.7,jumpy,2
200192,2469.7,pi,2
200192,1864.3,mppi,2
200192,2366.6,jumpy,2
250112,2284.8,pi,2
250112,1802.3,mppi,2
250112,3069.4,jumpy,2
300032,2659.2,pi,2
300032,2234.4,mppi,2
300032,2807.0,jumpy,2
350208,2452.7,pi,2
350208,967.2,mppi,2
350208,2710.4,jumpy,2
400128,2686.6,pi,2
400128,2331.7,mppi,2
400128,2697.1,jumpy,2
450048,2320.1,pi,2
450048,2775.5,mppi,2
450048,2666.6,jumpy,2
