step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,4,0.0358,1.0000,0.0,0.0
50176,mppi,4,0.3537,1.0000,0.0,0.0
100096,pi,4,1.0000,1.0000,0.0,0.0
100096,mppi,4,0.7263,1.0000,0.0,0.0
150016,pi,4,0.9798,0.9954,1.0,0.0
150016,mppi,4,0.8887,1.0000,0.0,0.0
200192,pi,4,1.0000,1.0000,0.0,0.0
200192,mppi,4,0.6990,1.0000,0.0,0.0
250112,pi,4,0.0144,0.3272,4.2,0.0
250112,mppi,4,0.0060,1.0000,0.0,0.0
300032,pi,4,0.9924,1.0000,0.0,0.0
300032,mppi,4,0.8940,1.0000,0.0,0.0
350208,pi,4,1.0000,1.0000,0.0,0.0
350208,mppi,4,0.7733,0.9153,0.3333333333333333,0.0
400128,pi,4,1.0000,1.0000,0.0,0.0
400128,mppi,4,0.4403,1.0000,0.0,0.0
450048,pi,4,1.0000,1.0000,0.0,0.0
450048,mppi,4,0.3567,1.0000,0.0,0.0
500224,pi,4,0.7990,1.0000,0.0,0.0
500224,mppi,4,0.8890,1.0000,0.0,0.0
