step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,0,0.8756,1.0000,0.0,0.0
50176,mppi,0,0.5763,0.9890,2.0,0.0
100096,pi,0,1.0000,1.0000,0.0,0.0
100096,mppi,0,0.7420,1.0000,0.0,0.0
150016,pi,0,0.0084,0.8766,7.6,0.0
150016,mppi,0,0.0073,0.9840,1.3333333333333333,0.0
200192,pi,0,0.8444,1.0000,0.0,0.0
200192,mppi,0,0.9743,1.0000,0.0,0.0
250112,pi,0,0.9086,1.0000,0.0,0.0
250112,mppi,0,0.4563,0.9877,2.0,0.0
300032,pi,0,0.4312,1.0000,0.0,0.0
300032,mppi,0,0.0230,1.0000,0.0,0.0
350208,pi,0,0.9506,1.0000,0.0,0.0
350208,mppi,0,0.3330,1.0000,0.0,0.0
400128,pi,0,0.9790,1.0000,0.0,0.0
400128,mppi,0,0.5750,0.9990,1.0,0.0
450048,pi,0,0.8124,1.0000,0.0,0.0
450048,mppi,0,0.8777,1.0000,0.0,0.0
500224,pi,0,0.6322,1.0000,0.0,0.0
500224,mppi,0,0.1883,1.0000,0.0,0.0
