step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,2,0.0000,0.9982,0.2,1000.0
50176,mppi,2,0.0000,0.9920,1.3333333333333333,1000.0
100096,pi,2,0.0024,0.9576,7.4,717.0
100096,mppi,2,0.0483,0.9807,2.0,269.3333333333333
150016,pi,2,0.5012,0.9982,0.6,440.2
150016,mppi,2,0.6243,0.9913,0.3333333333333333,375.6666666666667
200192,pi,2,0.2228,0.9958,1.6,153.6
200192,mppi,2,0.0010,0.9983,1.0,975.6666666666666
250112,pi,2,0.0000,0.9976,0.6,1000.0
250112,mppi,2,0.0000,1.0000,0.0,1000.0
300032,pi,2,0.9144,0.9918,0.6,73.0
300032,mppi,2,0.9450,0.9963,0.6666666666666666,51.333333333333336
350208,pi,2,0.0000,0.9980,0.4,1000.0
350208,mppi,2,0.0000,0.9937,0.6666666666666666,1000.0
400128,pi,2,0.0000,0.9982,0.4,1000.0
400128,mppi,2,0.0000,0.9973,1.0,1000.0
450048,pi,2,0.9294,0.9936,1.0,70.6
450048,mppi,2,0.9487,0.9933,0.6666666666666666,51.0
500224,pi,2,0.9518,0.9966,0.6,48.2
500224,mppi,2,0.6250,0.9987,1.0,375.0
550144,pi,2,0.9362,0.9950,0.4,63.6
550144,mppi,2,0.9563,0.9987,0.3333333333333333,43.666666666666664
600064,pi,2,0.9378,0.9980,0.4,51.6
600064,mppi,2,0.9390,0.9990,0.3333333333333333,55.0
650240,pi,2,0.9352,0.9946,0.4,60.8
650240,mppi,2,0.9447,0.9993,0.6666666666666666,55.333333333333336
700160,pi,2,0.9030,0.9974,0.6,63.2
700160,mppi,2,0.5827,0.9817,1.6666666666666667,417.3333333333333
750080,pi,2,0.9392,0.9944,1.0,60.8
750080,mppi,2,0.9550,0.9970,0.3333333333333333,45.0
800000,pi,2,0.9452,0.9982,0.6,54.4
800000,mppi,2,0.9440,0.9990,0.3333333333333333,51.0
850176,pi,2,0.9550,0.9976,0.4,43.0
850176,mppi,2,0.9503,0.9960,0.6666666666666666,49.666666666666664
900096,pi,2,0.9534,0.9982,0.6,46.6
900096,mppi,2,0.6237,0.9907,0.6666666666666666,372.3333333333333
950016,pi,2,0.9422,0.9974,0.4,57.8
950016,mppi,2,0.9520,1.0000,0.0,47.333333333333336
1000192,pi,2,0.9500,1.0000,0.0,49.8
1000192,mppi,2,0.9467,0.9987,0.3333333333333333,53.333333333333336
