step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,6,0.0000,0.9880,3.2,1000.0
50176,mppi,6,0.0000,0.9553,6.666666666666667,1000.0
100096,pi,6,0.1036,0.9946,0.4,139.8
100096,mppi,6,0.4880,0.9873,1.0,181.33333333333334
150016,pi,6,0.6304,0.9592,0.6,254.8
150016,mppi,6,0.5437,0.7413,27.666666666666668,380.3333333333333
200192,pi,6,0.9392,0.9984,0.2,60.6
200192,mppi,6,0.9323,1.0000,0.0,66.0
250112,pi,6,0.7222,0.9952,0.2,45.4
250112,mppi,6,0.8447,0.9930,1.0,106.66666666666667
300032,pi,6,0.9096,0.9800,1.2,90.4
300032,mppi,6,0.9233,0.9953,1.0,76.33333333333333
350208,pi,6,0.9158,0.9976,0.4,83.0
350208,mppi,6,0.9303,0.9997,0.3333333333333333,68.66666666666667
400128,pi,6,0.9192,0.9896,1.2,80.8
400128,mppi,6,0.9333,1.0000,0.0,66.66666666666667
450048,pi,6,0.7260,0.9982,0.8,274.0
450048,mppi,6,0.3113,0.9963,0.6666666666666666,688.6666666666666
500224,pi,6,0.9192,0.9960,0.8,80.4
500224,mppi,6,0.9143,0.9863,1.3333333333333333,83.66666666666667
