step,reward,eval_type,seed
250112,0.0,pi,4
250112,1.6,mppi,4
250112,0.0,arb,4
500224,23.9,pi,4
500224,26.6,mppi,4
500224,23.9,arb,4
750080,80.6,pi,4
750080,125.2,mppi,4
750080,125.2,arb,4
1000192,218.5,pi,4
1000192,120.2,mppi,4
1000192,218.5,arb,4
1250048,249.2,pi,4
1250048,247.7,mppi,4
1250048,249.2,arb,4
1500160,228.7,pi,4
1500160,250.5,mppi,4
1500160,228.7,arb,4
1750016,242.3,pi,4
1750016,253.9,mppi,4
1750016,242.3,arb,4
2000128,254.9,pi,4
2000128,258.3,mppi,4
2000128,254.9,arb,4
2250240,252.6,pi,4
2250240,257.8,mppi,4
2250240,252.6,arb,4
2500096,251.7,pi,4
2500096,256.5,mppi,4
2500096,251.7,arb,4
2750208,255.8,pi,4
2750208,252.9,mppi,4
2750208,255.8,arb,4
3000064,260.7,pi,4
3000064,263.2,mppi,4
3000064,260.7,arb,4
3250176,258.3,pi,4
3250176,260.8,mppi,4
3250176,258.3,arb,4
3500032,256.2,pi,4
3500032,261.9,mppi,4
3500032,256.2,arb,4
3750144,261.6,pi,4
3750144,262.5,mppi,4
3750144,261.6,arb,4
4000000,253.3,pi,4
4000000,253.6,mppi,4
4000000,253.3,arb,4
4250112,249.5,pi,4
4250112,261.0,mppi,4
4250112,249.5,arb,4
4500224,255.5,pi,4
4500224,261.4,mppi,4
4500224,255.5,arb,4
4750080,251.3,pi,4
4750080,260.3,mppi,4
4750080,251.3,arb,4
5000192,250.6,pi,4
5000192,263.6,mppi,4
5000192,250.6,arb,4
5250048,254.2,pi,4
5250048,265.6,mppi,4
5250048,254.2,arb,4
5500160,250.1,pi,4
5500160,236.6,mppi,4
5500160,250.1,arb,4
5750016,255.4,pi,4
5750016,257.5,mppi,4
5750016,255.4,arb,4
6000128,204.0,pi,4
6000128,194.8,mppi,4
6000128,204.0,arb,4
6250240,254.8,pi,4
6250240,259.7,mppi,4
6250240,254.8,arb,4
6500096,259.5,pi,4
6500096,254.1,mppi,4
6500096,259.5,arb,4
6750208,255.9,pi,4
6750208,256.7,mppi,4
6750208,255.9,arb,4
7000064,257.5,pi,4
7000064,265.4,mppi,4
7000064,257.5,arb,4
7250176,254.8,pi,4
7250176,260.5,mppi,4
7250176,254.8,arb,4
7500032,259.4,pi,4
7500032,261.3,mppi,4
7500032,259.4,arb,4
7750144,259.3,pi,4
7750144,256.5,mppi,4
7750144,259.3,arb,4
