step,seed,pi_reward,mppi_reward,mppi_minus_pi,selected,reward,margin
250112,5,36.9,12.0,-24.9,pi,36.9,25.0
500224,5,0.0,1.8,1.8,pi,0.0,25.0
750080,5,233.1,249.4,16.3,pi,233.1,25.0
1000192,5,244.7,276.9,32.2,mppi,276.9,25.0
1250048,5,241.6,272.1,30.5,mppi,272.1,25.0
1500160,5,270.9,306.5,35.6,mppi,306.5,25.0
1750016,5,285.0,300.0,15.0,pi,285.0,25.0
2000128,5,295.9,308.1,12.2,pi,295.9,25.0
2250240,5,296.6,304.3,7.7,pi,296.6,25.0
2500096,5,295.6,302.6,7.0,pi,295.6,25.0
2750208,5,294.3,282.4,-11.9,pi,294.3,25.0
3000064,5,295.5,298.1,2.6,pi,295.5,25.0
3250176,5,270.5,276.6,6.1,pi,270.5,25.0
3500032,5,299.3,299.1,-0.2,pi,299.3,25.0
3750144,5,293.2,300.0,6.8,pi,293.2,25.0
4000000,5,294.9,306.9,12.0,pi,294.9,25.0
4250112,5,296.7,305.5,8.8,pi,296.7,25.0
4500224,5,298.2,292.9,-5.3,pi,298.2,25.0
4750080,5,298.3,291.1,-7.2,pi,298.3,25.0
5000192,5,304.6,296.9,-7.7,pi,304.6,25.0
