step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,5,0.0310,0.1180,5.6,633.0
250112,mppi,5,0.0030,0.0481,2.25,914.0
500224,pi,5,0.0000,0.0000,0.0,1000.0
500224,mppi,5,0.0025,0.0030,0.125,880.0
750080,pi,5,0.2420,0.4436,24.4,65.8
750080,mppi,5,0.2489,0.4479,24.625,58.5
1000192,pi,5,0.2584,0.3920,26.6,62.6
1000192,mppi,5,0.2693,0.4760,22.625,54.5
1250048,pi,5,0.2550,0.4732,25.2,64.8
1250048,mppi,5,0.2595,0.5463,14.375,63.75
1500160,pi,5,0.2794,0.5314,12.8,55.2
1500160,mppi,5,0.2939,0.5156,13.875,57.125
1750016,pi,5,0.2762,0.5004,14.0,54.0
1750016,mppi,5,0.2835,0.4884,14.0,56.875
2000128,pi,5,0.2918,0.5222,14.4,61.2
2000128,mppi,5,0.2919,0.5039,14.0,58.125
2250240,pi,5,0.2986,0.5226,13.8,56.2
2250240,mppi,5,0.2853,0.5096,14.375,49.5
2500096,pi,5,0.2904,0.5276,13.8,62.0
2500096,mppi,5,0.2900,0.5040,14.25,43.375
2750208,pi,5,0.2934,0.5308,13.8,54.0
2750208,mppi,5,0.2724,0.4684,13.125,50.375
3000064,pi,5,0.2948,0.5264,13.8,55.8
3000064,mppi,5,0.2751,0.4958,14.25,59.0
3250176,pi,5,0.2986,0.4358,15.0,53.6
3250176,mppi,5,0.2796,0.4624,13.0,49.125
3500032,pi,5,0.2940,0.5188,14.0,46.4
3500032,mppi,5,0.2920,0.4875,14.125,55.625
3750144,pi,5,0.2910,0.5070,14.2,47.4
3750144,mppi,5,0.3003,0.5022,14.125,54.125
4000000,pi,5,0.2914,0.5078,14.0,61.6
4000000,mppi,5,0.3075,0.4916,14.75,34.5
4250112,pi,5,0.2878,0.5266,14.2,38.6
4250112,mppi,5,0.2925,0.4959,14.0,57.125
4500224,pi,5,0.2948,0.5276,14.0,39.0
4500224,mppi,5,0.2881,0.4848,13.75,59.875
4750080,pi,5,0.2960,0.5222,14.0,56.8
4750080,mppi,5,0.2873,0.4928,14.0,56.25
5000192,pi,5,0.2958,0.5040,14.6,37.8
5000192,mppi,5,0.2924,0.4764,14.25,50.5
