step,reward,eval_type,seed
250112,0.0,pi,4
250112,109.5,mppi,4
500224,213.0,pi,4
500224,269.1,mppi,4
750080,275.3,pi,4
750080,285.6,mppi,4
1000192,283.0,pi,4
1000192,281.5,mppi,4
1250048,284.2,pi,4
1250048,293.1,mppi,4
1500160,276.7,pi,4
1500160,283.2,mppi,4
1750016,273.9,pi,4
1750016,269.0,mppi,4
2000128,285.5,pi,4
2000128,288.7,mppi,4
2250240,283.6,pi,4
2250240,286.3,mppi,4
2500096,286.7,pi,4
2500096,291.5,mppi,4
2750208,285.2,pi,4
2750208,293.0,mppi,4
3000064,278.1,pi,4
3000064,283.8,mppi,4
3250176,280.8,pi,4
3250176,289.5,mppi,4
3500032,286.7,pi,4
3500032,281.8,mppi,4
3750144,283.4,pi,4
3750144,283.5,mppi,4
4000000,283.8,pi,4
4000000,286.3,mppi,4
4250112,285.4,pi,4
4250112,284.8,mppi,4
