step,reward,eval_type,seed
250112,36.3,pi,1
250112,61.8,mppi,1
500224,74.6,pi,1
500224,60.5,mppi,1
750080,47.6,pi,1
750080,67.1,mppi,1
1000192,53.8,pi,1
1000192,33.9,mppi,1
1250048,55.2,pi,1
1250048,107.0,mppi,1
1500160,48.0,pi,1
1500160,139.6,mppi,1
1750016,56.4,pi,1
1750016,176.4,mppi,1
2000128,225.5,pi,1
2000128,143.4,mppi,1
2250240,108.6,pi,1
2250240,105.5,mppi,1
2500096,60.0,pi,1
2500096,178.7,mppi,1
2750208,168.4,pi,1
2750208,173.8,mppi,1
3000064,115.0,pi,1
3000064,145.7,mppi,1
3250176,228.5,pi,1
3250176,140.7,mppi,1
3500032,112.9,pi,1
3500032,147.9,mppi,1
3750144,165.6,pi,1
3750144,107.5,mppi,1
4000000,171.8,pi,1
4000000,147.3,mppi,1
4250112,114.7,pi,1
4250112,180.6,mppi,1
4500224,179.8,pi,1
4500224,186.0,mppi,1
4750080,238.0,pi,1
4750080,180.7,mppi,1
5000192,56.4,pi,1
5000192,184.5,mppi,1
5250048,74.0,pi,1
5250048,172.0,mppi,1
5500160,115.4,pi,1
5500160,185.7,mppi,1
5750016,110.5,pi,1
5750016,185.5,mppi,1
6000128,165.6,pi,1
6000128,237.6,mppi,1
6250240,173.0,pi,1
6250240,184.3,mppi,1
6500096,55.8,pi,1
6500096,147.2,mppi,1
6750208,174.4,pi,1
6750208,183.2,mppi,1
7000064,109.8,pi,1
7000064,258.4,mppi,1
