step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,1,0.0000,0.2400,16.2,1000.0
250112,mppi,1,0.0145,0.1315,10.25,447.25
500224,pi,1,0.1406,0.3996,17.4,140.2
500224,mppi,1,0.1290,0.4429,18.125,94.875
750080,pi,1,0.1100,0.1884,6.4,624.4
750080,mppi,1,0.1973,0.2996,13.75,287.25
1000192,pi,1,0.1998,0.3830,16.4,119.8
1000192,mppi,1,0.2022,0.3757,18.125,89.375
1250048,pi,1,0.2602,0.4212,17.0,95.0
1250048,mppi,1,0.2741,0.3750,18.0,86.625
1500160,pi,1,0.2582,0.4708,15.6,82.0
1500160,mppi,1,0.2589,0.4397,16.375,81.125
1750016,pi,1,0.2744,0.4642,16.4,66.8
1750016,mppi,1,0.3034,0.4471,16.5,84.125
2000128,pi,1,0.2814,0.4514,17.0,52.2
2000128,mppi,1,0.3014,0.4573,17.125,53.375
2250240,pi,1,0.2282,0.3648,13.4,238.2
2250240,mppi,1,0.2185,0.3376,12.625,294.375
2500096,pi,1,0.2316,0.3328,14.6,238.6
2500096,mppi,1,0.2453,0.3240,13.375,292.125
2750208,pi,1,0.3094,0.4098,17.8,71.0
2750208,mppi,1,0.3083,0.4492,16.625,70.5
3000064,pi,1,0.3030,0.4382,17.2,75.8
3000064,mppi,1,0.3051,0.4620,17.375,38.375
3250176,pi,1,0.2910,0.4678,16.4,66.6
3250176,mppi,1,0.3025,0.4590,16.625,69.125
3500032,pi,1,0.3208,0.4298,17.6,63.8
3500032,mppi,1,0.3205,0.4327,18.0,52.75
3750144,pi,1,0.3068,0.4332,17.6,50.6
3750144,mppi,1,0.3302,0.4268,18.125,59.125
4000000,pi,1,0.2996,0.4328,17.6,61.0
4000000,mppi,1,0.3340,0.4510,17.75,48.25
4250112,pi,1,0.2968,0.4450,17.0,62.6
4250112,mppi,1,0.3191,0.4513,17.25,67.125
4500224,pi,1,0.3088,0.4772,17.4,35.8
4500224,mppi,1,0.3261,0.4607,17.375,51.875
4750080,pi,1,0.3244,0.4316,17.8,55.2
4750080,mppi,1,0.3366,0.4321,17.875,59.25
5000192,pi,1,0.3234,0.4388,17.4,63.8
5000192,mppi,1,0.3360,0.4351,18.25,52.125
5250048,pi,1,0.3108,0.4470,17.4,52.8
5250048,mppi,1,0.3267,0.4425,18.0,46.625
5500160,pi,1,0.2266,0.3702,13.8,244.0
5500160,mppi,1,0.3045,0.4589,17.625,48.25
5750016,pi,1,0.3144,0.4314,17.8,52.6
5750016,mppi,1,0.3439,0.4298,18.125,44.375
6000128,pi,1,0.2954,0.4594,17.0,50.4
6000128,mppi,1,0.3509,0.4393,18.25,41.0
6250240,pi,1,0.2874,0.4718,16.4,56.2
6250240,mppi,1,0.2955,0.4725,16.875,55.0
6500096,pi,1,0.2976,0.4462,17.4,52.2
6500096,mppi,1,0.3101,0.4730,16.875,55.75
6750208,pi,1,0.2998,0.4672,17.0,48.8
6750208,mppi,1,0.3100,0.4619,17.375,58.5
7000064,pi,1,0.3034,0.4550,17.0,63.8
7000064,mppi,1,0.2790,0.4100,15.0,165.125
7250176,pi,1,0.3096,0.4452,17.0,59.6
7250176,mppi,1,0.3179,0.4457,17.375,58.625
7500032,pi,1,0.2948,0.4554,17.6,51.2
7500032,mppi,1,0.3108,0.4620,16.625,64.625
7750144,pi,1,0.2936,0.4672,17.0,57.8
7750144,mppi,1,0.2873,0.4480,15.75,48.125
8000000,pi,1,0.2900,0.4532,16.8,71.4
8000000,mppi,1,0.2839,0.4270,15.75,46.25
8250112,pi,1,0.3020,0.4556,17.2,54.4
8250112,mppi,1,0.2705,0.3956,14.5,55.375
8500224,pi,1,0.2968,0.4692,17.4,53.6
8500224,mppi,1,0.2774,0.4010,14.75,36.0
8750080,pi,1,0.2916,0.4850,16.8,56.8
8750080,mppi,1,0.2934,0.4029,16.0,56.625
9000192,pi,1,0.3066,0.4534,17.0,61.6
9000192,mppi,1,0.2695,0.3921,14.875,54.75
