step,reward,eval_type,seed
250112,0.0,pi,1
250112,0.0,mppi,1
500224,263.7,pi,1
500224,317.4,mppi,1
750080,424.7,pi,1
750080,460.2,mppi,1
1000192,441.7,pi,1
1000192,482.1,mppi,1
1250048,454.8,pi,1
1250048,481.2,mppi,1
1500160,461.1,pi,1
1500160,470.6,mppi,1
1750016,471.2,pi,1
1750016,497.4,mppi,1
2000128,455.1,pi,1
2000128,480.3,mppi,1
2250240,471.0,pi,1
2250240,491.1,mppi,1
2500096,483.9,pi,1
2500096,500.8,mppi,1
2750208,490.5,pi,1
2750208,501.0,mppi,1
3000064,496.7,pi,1
3000064,514.3,mppi,1
3250176,491.6,pi,1
3250176,511.2,mppi,1
3500032,489.0,pi,1
3500032,506.2,mppi,1
3750144,489.0,pi,1
3750144,520.2,mppi,1
4000000,485.4,pi,1
4000000,515.6,mppi,1
4250112,492.6,pi,1
4250112,520.9,mppi,1
4500224,483.7,pi,1
4500224,516.4,mppi,1
4750080,490.7,pi,1
4750080,511.7,mppi,1
5000192,484.5,pi,1
5000192,529.2,mppi,1
5250048,498.9,pi,1
5250048,523.1,mppi,1
5500160,392.2,pi,1
5500160,529.4,mppi,1
5750016,502.8,pi,1
5750016,462.1,mppi,1
6000128,496.4,pi,1
6000128,527.7,mppi,1
6250240,510.0,pi,1
6250240,527.3,mppi,1
6500096,502.1,pi,1
6500096,532.5,mppi,1
6750208,511.4,pi,1
6750208,531.8,mppi,1
7000064,497.4,pi,1
7000064,465.3,mppi,1
7250176,496.9,pi,1
7250176,527.4,mppi,1
7500032,509.3,pi,1
7500032,518.5,mppi,1
7750144,507.7,pi,1
7750144,533.8,mppi,1
8000000,517.7,pi,1
8000000,527.6,mppi,1
8250112,513.9,pi,1
8250112,517.7,mppi,1
8500224,501.9,pi,1
8500224,529.2,mppi,1
8750080,501.6,pi,1
8750080,529.2,mppi,1
9000192,507.7,pi,1
9000192,529.7,mppi,1
9250048,505.0,pi,1
9250048,539.4,mppi,1
9500160,488.1,pi,1
9500160,534.5,mppi,1
9750016,495.6,pi,1
9750016,532.5,mppi,1
10000128,400.8,pi,1
10000128,531.7,mppi,1
