step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,1,0.0000,0.0000,0.0,1000.0
250112,mppi,1,0.0023,0.0140,0.375,671.25
500224,pi,1,0.0170,0.0258,0.8,253.8
500224,mppi,1,0.0141,0.0281,0.875,191.25
750080,pi,1,0.4320,0.6218,7.2,126.6
750080,mppi,1,0.4746,0.7862,3.5,96.0
1000192,pi,1,0.4870,0.5286,11.0,66.8
1000192,mppi,1,0.4911,0.5604,9.875,74.0
1250048,pi,1,0.3090,0.8542,4.0,74.0
1250048,mppi,1,0.5119,0.8850,1.625,59.5
1500160,pi,1,0.5442,0.7824,18.0,80.2
1500160,mppi,1,0.6049,0.8794,9.375,58.625
1750016,pi,1,0.4352,0.9368,0.0,72.0
1750016,mppi,1,0.5343,0.9446,0.125,61.875
2000128,pi,1,0.4712,0.9508,0.4,51.8
2000128,mppi,1,0.4944,0.9492,0.25,55.75
2250240,pi,1,0.4948,0.9308,2.2,57.8
2250240,mppi,1,0.5221,0.9367,1.0,62.75
2500096,pi,1,0.4690,0.9424,0.6,63.2
2500096,mppi,1,0.5068,0.9436,0.75,55.75
2750208,pi,1,0.4540,0.9486,0.0,61.2
2750208,mppi,1,0.5052,0.9455,0.0,59.125
3000064,pi,1,0.4676,0.9390,0.2,69.0
3000064,mppi,1,0.5309,0.9529,0.5,46.5
3250176,pi,1,0.5068,0.9342,3.8,46.4
3250176,mppi,1,0.5089,0.9492,0.375,60.625
3500032,pi,1,0.4906,0.9448,0.2,61.0
3500032,mppi,1,0.5114,0.9515,0.125,52.5
3750144,pi,1,0.4948,0.9446,0.4,61.4
3750144,mppi,1,0.5109,0.9460,0.25,57.125
4000000,pi,1,0.4700,0.9456,0.2,61.4
4000000,mppi,1,0.4951,0.9519,0.0,55.375
4250112,pi,1,0.4808,0.9360,0.4,55.4
4250112,mppi,1,0.5336,0.9479,0.25,56.375
4500224,pi,1,0.5042,0.9552,0.4,53.8
4500224,mppi,1,0.5369,0.9454,1.25,53.375
