step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,8,0.0000,0.0000,0.0,1000.0
250112,mppi,8,0.0000,0.0000,0.0,1000.0
500224,pi,8,0.0000,0.0000,0.0,1000.0
500224,mppi,8,0.0000,0.0000,0.0,1000.0
750080,pi,8,0.1222,0.1300,6.2,618.2
750080,mppi,8,0.2355,0.2514,12.25,167.5
1000192,pi,8,0.2610,0.2900,12.0,222.4
1000192,mppi,8,0.0382,0.0399,1.875,881.25
1250048,pi,8,0.1614,0.1628,9.0,424.6
1250048,mppi,8,0.1709,0.1784,8.625,402.0
1500160,pi,8,0.1964,0.2126,8.4,437.8
1500160,mppi,8,0.2071,0.2145,9.625,398.875
1750016,pi,8,0.1276,0.1338,5.8,617.8
1750016,mppi,8,0.1650,0.1780,7.75,519.0
2000128,pi,8,0.1986,0.2148,8.8,422.8
2000128,mppi,8,0.1304,0.1399,5.75,640.0
