step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,6,0.0000,0.0000,0.0,1000.0
250112,mppi,6,0.0005,0.0043,0.5,876.75
500224,pi,6,0.0000,0.0000,0.0,1000.0
500224,mppi,6,0.0004,0.0024,0.125,884.125
750080,pi,6,0.0024,0.0066,0.6,410.2
750080,mppi,6,0.0136,0.0836,3.875,499.625
1000192,pi,6,0.0728,0.1514,6.2,632.2
1000192,mppi,6,0.0810,0.2125,8.0,523.25
1250048,pi,6,0.1710,0.4872,12.4,86.4
1250048,mppi,6,0.1397,0.4631,15.0,110.75
1500160,pi,6,0.1782,0.2772,20.2,226.4
1500160,mppi,6,0.1037,0.1796,12.125,528.875
1750016,pi,6,0.2374,0.4574,13.2,72.6
1750016,mppi,6,0.2360,0.4804,13.75,52.0
2000128,pi,6,0.2162,0.5164,16.2,81.0
2000128,mppi,6,0.2346,0.5226,12.75,76.125
