step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,5,0.0000,0.0000,0.0,1000.0
250112,mppi,5,0.0101,0.0174,0.625,535.375
500224,pi,5,0.3412,0.3712,15.0,59.6
500224,mppi,5,0.3532,0.3778,15.0,52.75
750080,pi,5,0.4096,0.4592,13.4,56.0
750080,mppi,5,0.4145,0.4529,13.75,46.25
1000192,pi,5,0.3962,0.4420,14.0,62.8
1000192,mppi,5,0.4134,0.4554,13.625,53.25
1250048,pi,5,0.4056,0.4468,13.4,60.4
1250048,mppi,5,0.4022,0.4469,13.375,68.875
1500160,pi,5,0.4034,0.4354,14.0,47.6
1500160,mppi,5,0.4251,0.4620,14.125,49.125
1750016,pi,5,0.4016,0.4692,13.0,60.2
1750016,mppi,5,0.4239,0.4734,13.375,52.5
2000128,pi,5,0.4116,0.4674,13.4,47.2
2000128,mppi,5,0.4211,0.4763,13.75,55.75
