step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,2,0.0140,0.0230,0.8,277.4
250112,mppi,2,0.0073,0.0239,0.75,437.75
500224,pi,2,0.0104,0.0250,0.8,241.6
500224,mppi,2,0.0102,0.0346,0.875,203.5
750080,pi,2,0.0176,0.0264,1.0,44.2
750080,mppi,2,0.0189,0.0270,0.75,304.625
1000192,pi,2,0.3952,0.4050,14.8,45.0
1000192,mppi,2,0.3475,0.3520,12.5,168.0
1250048,pi,2,0.4256,0.4392,12.8,67.8
1250048,mppi,2,0.4738,0.4968,12.5,50.75
1500160,pi,2,0.4122,0.4250,14.0,59.4
1500160,mppi,2,0.3982,0.4094,11.375,165.0
1750016,pi,2,0.4642,0.4950,12.0,57.0
1750016,mppi,2,0.5034,0.5384,11.0,52.125
2000128,pi,2,0.4400,0.4434,13.0,61.4
2000128,mppi,2,0.4713,0.4834,13.25,48.875
