step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,7,0.0066,0.0242,0.6,453.4
250112,mppi,7,0.0051,0.0095,0.375,644.75
500224,pi,7,0.1098,0.2920,8.0,70.0
500224,mppi,7,0.1815,0.2349,7.75,73.25
750080,pi,7,0.2394,0.2918,9.0,58.4
750080,mppi,7,0.2089,0.3197,9.125,63.25
1000192,pi,7,0.3118,0.3186,9.0,74.0
1000192,mppi,7,0.3530,0.3672,13.125,64.125
1250048,pi,7,0.3578,0.3750,8.2,47.0
1250048,mppi,7,0.3629,0.4050,8.5,63.5
1500160,pi,7,0.3784,0.4082,8.4,42.2
1500160,mppi,7,0.3772,0.3916,11.0,61.125
1750016,pi,7,0.3840,0.3998,8.0,62.0
1750016,mppi,7,0.3951,0.4197,7.875,48.375
2000128,pi,7,0.3872,0.4100,8.2,50.8
2000128,mppi,7,0.4047,0.4298,11.125,48.25
2250240,pi,7,0.3942,0.4372,7.8,58.8
2250240,mppi,7,0.4078,0.4435,7.75,52.25
2500096,pi,7,0.4034,0.4324,7.8,65.4
2500096,mppi,7,0.4221,0.4520,7.625,50.25
