step,reward,eval_type,seed
250112,0.0,pi,5
250112,0.0,mppi,5
500224,0.0,pi,5
500224,0.0,mppi,5
750080,3.0,pi,5
750080,1.8,mppi,5
1000192,0.0,pi,5
1000192,1.0,mppi,5
1250048,306.5,pi,5
1250048,230.4,mppi,5
1500160,302.1,pi,5
1500160,288.7,mppi,5
1750016,330.8,pi,5
1750016,325.7,mppi,5
2000128,325.6,pi,5
2000128,340.6,mppi,5
2250240,328.9,pi,5
2250240,342.7,mppi,5
2500096,324.6,pi,5
2500096,354.7,mppi,5
2750208,335.2,pi,5
2750208,341.9,mppi,5
3000064,326.3,pi,5
3000064,345.0,mppi,5
3250176,325.4,pi,5
3250176,342.8,mppi,5
3500032,330.5,pi,5
3500032,345.7,mppi,5
3750144,332.0,pi,5
3750144,307.4,mppi,5
4000000,324.0,pi,5
4000000,358.5,mppi,5
4250112,333.5,pi,5
4250112,352.9,mppi,5
4500224,334.1,pi,5
4500224,347.1,mppi,5
4750080,329.2,pi,5
4750080,348.5,mppi,5
5000192,330.2,pi,5
5000192,353.1,mppi,5
5250048,327.6,pi,5
5250048,345.4,mppi,5
5500160,335.3,pi,5
5500160,344.5,mppi,5
5750016,333.9,pi,5
5750016,358.2,mppi,5
6000128,333.0,pi,5
6000128,305.7,mppi,5
6250240,341.5,pi,5
6250240,354.3,mppi,5
6500096,341.9,pi,5
6500096,313.2,mppi,5
6750208,341.6,pi,5
6750208,356.8,mppi,5
7000064,338.0,pi,5
7000064,356.1,mppi,5
