step,reward,eval_type,seed
250112,24.2,pi,2
250112,63.4,mppi,2
500224,209.0,pi,2
500224,202.4,mppi,2
750080,233.5,pi,2
750080,218.9,mppi,2
1000192,236.1,pi,2
1000192,227.1,mppi,2
1250048,244.0,pi,2
1250048,247.5,mppi,2
1500160,249.9,pi,2
1500160,217.4,mppi,2
1750016,236.0,pi,2
1750016,240.6,mppi,2
2000128,250.3,pi,2
2000128,252.1,mppi,2
2250240,249.4,pi,2
2250240,253.0,mppi,2
2500096,245.0,pi,2
2500096,243.8,mppi,2
2750208,194.7,pi,2
2750208,247.2,mppi,2
3000064,249.1,pi,2
3000064,251.2,mppi,2
3250176,246.7,pi,2
3250176,255.4,mppi,2
3500032,250.0,pi,2
3500032,252.9,mppi,2
3750144,252.5,pi,2
3750144,250.7,mppi,2
4000000,246.8,pi,2
4000000,250.7,mppi,2
4250112,250.6,pi,2
4250112,253.3,mppi,2
4500224,251.8,pi,2
4500224,252.7,mppi,2
4750080,245.3,pi,2
4750080,247.3,mppi,2
5000192,201.9,pi,2
5000192,227.1,mppi,2
5250048,252.2,pi,2
5250048,230.8,mppi,2
5500160,244.0,pi,2
5500160,231.1,mppi,2
5750016,248.1,pi,2
5750016,252.4,mppi,2
6000128,253.6,pi,2
6000128,251.1,mppi,2
6250240,253.8,pi,2
6250240,220.7,mppi,2
