step,reward,eval_type,seed
250112,45.0,pi,3
250112,43.9,mppi,3
500224,1.2,pi,3
500224,14.1,mppi,3
750080,224.2,pi,3
750080,201.0,mppi,3
1000192,211.9,pi,3
1000192,236.3,mppi,3
1250048,234.9,pi,3
1250048,246.0,mppi,3
1500160,233.0,pi,3
1500160,247.8,mppi,3
1750016,237.4,pi,3
1750016,251.0,mppi,3
2000128,199.8,pi,3
2000128,249.1,mppi,3
2250240,244.1,pi,3
2250240,252.2,mppi,3
2500096,244.9,pi,3
2500096,251.1,mppi,3
2750208,239.5,pi,3
2750208,250.7,mppi,3
3000064,245.5,pi,3
3000064,245.0,mppi,3
3250176,247.6,pi,3
3250176,244.1,mppi,3
3500032,238.0,pi,3
3500032,245.8,mppi,3
3750144,239.8,pi,3
3750144,245.6,mppi,3
4000000,241.1,pi,3
4000000,248.6,mppi,3
4250112,237.0,pi,3
4250112,239.8,mppi,3
4500224,249.0,pi,3
4500224,251.3,mppi,3
4750080,246.7,pi,3
4750080,248.1,mppi,3
5000192,246.4,pi,3
5000192,247.2,mppi,3
5250048,244.5,pi,3
5250048,249.1,mppi,3
5500160,246.4,pi,3
5500160,249.2,mppi,3
