step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,3,0.0222,0.1522,6.2,644.8
250112,mppi,3,0.0396,0.0974,6.875,651.125
500224,pi,3,0.0000,0.0036,0.4,1000.0
500224,mppi,3,0.0083,0.0444,1.875,768.875
750080,pi,3,0.2320,0.4106,15.4,72.0
750080,mppi,3,0.1931,0.3716,12.875,199.875
1000192,pi,3,0.2282,0.3804,14.2,156.8
1000192,mppi,3,0.2397,0.4405,15.125,77.25
1250048,pi,3,0.2376,0.4488,15.2,68.8
1250048,mppi,3,0.2664,0.4248,16.125,57.125
1500160,pi,3,0.2580,0.4282,16.2,60.0
1500160,mppi,3,0.2611,0.4316,15.75,58.5
1750016,pi,3,0.2594,0.3946,16.4,69.2
1750016,mppi,3,0.2618,0.4180,16.375,44.25
2000128,pi,3,0.2134,0.3418,12.8,254.0
2000128,mppi,3,0.2539,0.4345,16.0,52.25
2250240,pi,3,0.2550,0.4426,15.2,64.0
2250240,mppi,3,0.2618,0.4315,16.0,59.25
2500096,pi,3,0.2520,0.4578,15.0,53.2
2500096,mppi,3,0.2595,0.4404,15.875,54.5
2750208,pi,3,0.2546,0.4262,15.8,63.4
2750208,mppi,3,0.2614,0.4524,15.75,53.625
3000064,pi,3,0.2592,0.4408,15.8,50.6
3000064,mppi,3,0.2494,0.4483,15.125,61.25
3250176,pi,3,0.2528,0.4672,16.2,43.8
3250176,mppi,3,0.2525,0.4415,16.0,56.125
3500032,pi,3,0.2482,0.4452,14.8,70.6
3500032,mppi,3,0.2520,0.4432,15.125,61.125
3750144,pi,3,0.2542,0.4394,15.4,56.6
3750144,mppi,3,0.2625,0.4245,16.0,65.875
4000000,pi,3,0.2488,0.4374,15.4,56.6
4000000,mppi,3,0.2598,0.4373,16.0,55.125
4250112,pi,3,0.2490,0.4562,15.4,55.2
4250112,mppi,3,0.2596,0.4242,16.0,56.25
4500224,pi,3,0.2530,0.4506,15.8,45.4
4500224,mppi,3,0.2539,0.4404,15.375,61.75
4750080,pi,3,0.2574,0.4398,15.8,48.0
4750080,mppi,3,0.2721,0.4349,16.0,49.25
5000192,pi,3,0.2570,0.4514,15.2,54.2
5000192,mppi,3,0.2603,0.4414,16.125,46.25
5250048,pi,3,0.2482,0.4502,15.2,58.8
5250048,mppi,3,0.2612,0.4510,15.625,55.25
5500160,pi,3,0.2578,0.4554,16.0,45.2
5500160,mppi,3,0.2656,0.4386,15.875,55.875
