step,reward,eval_type,seed
250112,0.0,pi,2
250112,3.4,mppi,2
500224,6.1,pi,2
500224,10.7,mppi,2
750080,2.0,pi,2
750080,0.3,mppi,2
1000192,459.5,pi,2
1000192,410.6,mppi,2
1250048,458.4,pi,2
1250048,515.7,mppi,2
1500160,483.1,pi,2
1500160,453.2,mppi,2
1750016,505.4,pi,2
1750016,534.2,mppi,2
2000128,515.6,pi,2
2000128,532.1,mppi,2
2250240,507.9,pi,2
2250240,519.3,mppi,2
2500096,501.8,pi,2
2500096,502.8,mppi,2
2750208,399.7,pi,2
2750208,523.4,mppi,2
3000064,517.2,pi,2
3000064,521.2,mppi,2
3250176,515.1,pi,2
3250176,531.9,mppi,2
3500032,500.4,pi,2
3500032,515.8,mppi,2
3750144,494.7,pi,2
3750144,524.1,mppi,2
4000000,506.9,pi,2
4000000,527.1,mppi,2
4250112,497.6,pi,2
4250112,517.3,mppi,2
4500224,504.0,pi,2
4500224,527.2,mppi,2
4750080,500.7,pi,2
4750080,533.4,mppi,2
