step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,2,0.0000,0.0000,0.0,1000.0
250112,mppi,2,0.0025,0.0097,0.25,762.75
500224,pi,2,0.0050,0.0158,0.8,616.0
500224,mppi,2,0.0104,0.0296,0.875,321.375
750080,pi,2,0.0028,0.0044,0.6,802.4
750080,mppi,2,0.0000,0.0014,0.25,1000.0
1000192,pi,2,0.4672,0.9272,1.0,67.0
1000192,mppi,2,0.3960,0.8269,0.125,183.25
1250048,pi,2,0.4500,0.9510,0.8,60.2
1250048,mppi,2,0.5166,0.9521,0.125,58.625
1500160,pi,2,0.4846,0.9428,0.2,66.6
1500160,mppi,2,0.4599,0.8394,0.25,170.5
1750016,pi,2,0.5044,0.9370,0.2,73.6
1750016,mppi,2,0.5575,0.9587,0.0,49.75
2000128,pi,2,0.5268,0.9494,0.0,60.0
2000128,mppi,2,0.5469,0.9546,0.25,55.0
2250240,pi,2,0.5132,0.9550,0.4,48.4
2250240,mppi,2,0.5328,0.9596,0.5,44.125
2500096,pi,2,0.5094,0.9502,0.4,57.2
2500096,mppi,2,0.4825,0.9606,0.125,48.0
2750208,pi,2,0.3968,0.7586,0.6,251.2
2750208,mppi,2,0.5456,0.9545,0.125,57.0
3000064,pi,2,0.5298,0.9708,0.2,48.0
3000064,mppi,2,0.5235,0.9522,0.125,57.375
3250176,pi,2,0.5346,0.9494,0.8,57.0
3250176,mppi,2,0.5740,0.9504,0.375,57.25
3500032,pi,2,0.5118,0.9384,1.0,59.8
3500032,mppi,2,0.5248,0.9463,0.25,55.25
3750144,pi,2,0.5056,0.9522,0.2,57.2
3750144,mppi,2,0.5220,0.9576,0.125,49.25
4000000,pi,2,0.5146,0.9528,0.2,58.4
4000000,mppi,2,0.5493,0.9495,0.25,51.375
4250112,pi,2,0.5092,0.9524,0.4,53.6
4250112,mppi,2,0.5211,0.9519,0.125,56.75
4500224,pi,2,0.5192,0.9622,0.0,54.2
4500224,mppi,2,0.5355,0.9545,0.25,53.125
4750080,pi,2,0.5198,0.9530,0.2,57.8
4750080,mppi,2,0.5593,0.9529,0.25,51.75
