step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,5,0.0000,0.0000,0.0,1000.0
250112,mppi,5,0.0000,0.0000,0.0,1000.0
500224,pi,5,0.0256,0.1232,4.6,642.6
500224,mppi,5,0.0577,0.0772,3.875,648.25
750080,pi,5,0.1938,0.1994,13.4,244.0
750080,mppi,5,0.0940,0.0960,6.125,635.375
1000192,pi,5,0.4216,0.4670,12.0,65.4
1000192,mppi,5,0.4049,0.5938,10.0,57.625
1250048,pi,5,0.4344,0.9330,0.4,66.4
1250048,mppi,5,0.4610,0.9365,0.0,69.5
1500160,pi,5,0.4722,0.9414,0.4,60.2
1500160,mppi,5,0.4728,0.9521,0.125,47.75
1750016,pi,5,0.4830,0.9534,0.0,51.8
1750016,mppi,5,0.4806,0.9540,0.0,50.75
2000128,pi,5,0.4710,0.9458,0.2,61.4
2000128,mppi,5,0.4981,0.9584,0.0,47.875
2250240,pi,5,0.5292,0.9296,0.8,46.8
2250240,mppi,5,0.5640,0.9564,0.125,47.875
2500096,pi,5,0.5106,0.9502,0.0,54.4
2500096,mppi,5,0.5615,0.9552,0.375,46.0
2750208,pi,5,0.5198,0.9566,0.0,48.8
2750208,mppi,5,0.5444,0.9610,0.125,44.125
3000064,pi,5,0.5186,0.9546,0.0,50.6
3000064,mppi,5,0.5750,0.9520,0.0,50.875
3250176,pi,5,0.5250,0.9548,0.0,49.8
3250176,mppi,5,0.5226,0.9569,0.0,47.875
