step,reward,eval_type,seed
250112,0.0,pi,4
250112,70.3,mppi,4
500224,47.5,pi,4
500224,64.8,mppi,4
750080,428.2,pi,4
750080,475.5,mppi,4
1000192,470.3,pi,4
1000192,495.1,mppi,4
1250048,478.9,pi,4
1250048,501.6,mppi,4
1500160,492.0,pi,4
1500160,497.2,mppi,4
1750016,482.9,pi,4
1750016,506.5,mppi,4
2000128,503.0,pi,4
2000128,525.3,mppi,4
2250240,504.1,pi,4
2250240,508.3,mppi,4
2500096,515.3,pi,4
2500096,529.1,mppi,4
2750208,504.2,pi,4
2750208,528.4,mppi,4
3000064,514.5,pi,4
3000064,518.8,mppi,4
3250176,518.3,pi,4
3250176,538.2,mppi,4
3500032,525.4,pi,4
3500032,532.2,mppi,4
3750144,520.6,pi,4
3750144,534.8,mppi,4
4000000,516.4,pi,4
4000000,522.6,mppi,4
4250112,513.3,pi,4
4250112,520.4,mppi,4
4500224,514.2,pi,4
4500224,532.8,mppi,4
4750080,515.8,pi,4
4750080,527.1,mppi,4
5000192,517.8,pi,4
5000192,527.4,mppi,4
5250048,513.7,pi,4
5250048,544.4,mppi,4
5500160,522.7,pi,4
5500160,469.3,mppi,4
5750016,533.4,pi,4
5750016,545.2,mppi,4
6000128,531.8,pi,4
6000128,546.4,mppi,4
6250240,524.6,pi,4
6250240,541.4,mppi,4
6500096,530.4,pi,4
6500096,541.8,mppi,4
6750208,523.5,pi,4
6750208,541.6,mppi,4
7000064,528.7,pi,4
7000064,527.5,mppi,4
7250176,529.1,pi,4
7250176,551.0,mppi,4
