step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,0,0.0062,0.1302,2.8,800.0
50176,mppi,0,0.0000,0.0400,1.6666666666666667,1000.0
100096,pi,0,0.1292,0.3816,5.6,376.0
100096,mppi,0,0.0093,0.2470,4.333333333333333,804.3333333333334
150016,pi,0,0.1898,0.2972,2.0,668.8
150016,mppi,0,0.1433,0.4053,4.666666666666667,516.3333333333334
200192,pi,0,0.2662,0.5078,5.2,234.4
200192,mppi,0,0.2647,0.5290,5.333333333333333,308.0
250112,pi,0,0.3672,0.5686,4.0,299.8
250112,mppi,0,0.2560,0.4797,4.0,553.3333333333334
300032,pi,0,0.2006,0.4882,5.4,386.2
300032,mppi,0,0.3093,0.5943,4.666666666666667,318.3333333333333
350208,pi,0,0.2924,0.5340,4.8,288.0
350208,mppi,0,0.2357,0.4467,3.6666666666666665,379.0
400128,pi,0,0.2636,0.4838,4.6,411.4
400128,mppi,0,0.3190,0.5053,3.3333333333333335,386.6666666666667
450048,pi,0,0.2680,0.5366,4.4,447.2
450048,mppi,0,0.2753,0.5010,4.666666666666667,357.0
500224,pi,0,0.3600,0.5856,4.6,302.0
500224,mppi,0,0.3853,0.6150,4.333333333333333,226.0
