step,reward,eval_type,seed
50176,146.6,pi,2
50176,146.8,mppi,2
50176,117.1,jumpy,2
100096,158.6,pi,2
100096,166.8,mppi,2
100096,204.4,jumpy,2
150016,225.7,pi,2
150016,294.7,mppi,2
150016,216.8,jumpy,2
200192,2.4,pi,2
200192,48.1,mppi,2
200192,271.4,jumpy,2
250112,3.4,pi,2
250112,6.3,mppi,2
250112,32.1,jumpy,2
300032,494.7,pi,2
300032,485.6,mppi,2
300032,451.7,jumpy,2
350208,517.1,pi,2
350208,515.8,mppi,2
350208,509.9,jumpy,2
400128,100.9,pi,2
400128,139.0,mppi,2
400128,164.4,jumpy,2
450048,596.7,pi,2
450048,599.7,mppi,2
450048,463.3,jumpy,2
500224,296.5,pi,2
500224,687.4,mppi,2
500224,509.9,jumpy,2
