step,reward,eval_type,seed
50176,518.8,pi,8
50176,547.0,mppi,8
100096,695.2,pi,8
100096,930.3,mppi,8
150016,895.8,pi,8
150016,895.0,mppi,8
200192,960.4,pi,8
200192,963.7,mppi,8
250112,983.2,pi,8
250112,987.3,mppi,8
300032,967.4,pi,8
300032,971.0,mppi,8
350208,970.2,pi,8
350208,981.0,mppi,8
400128,984.0,pi,8
400128,983.0,mppi,8
450048,973.8,pi,8
450048,984.3,mppi,8
500224,976.6,pi,8
500224,988.0,mppi,8
550144,984.4,pi,8
550144,978.7,mppi,8
600064,975.6,pi,8
600064,985.7,mppi,8
650240,985.8,pi,8
650240,982.3,mppi,8
700160,982.8,pi,8
700160,980.7,mppi,8
750080,978.8,pi,8
750080,988.3,mppi,8
800000,969.4,pi,8
800000,985.3,mppi,8
850176,972.6,pi,8
850176,985.0,mppi,8
900096,984.4,pi,8
900096,976.7,mppi,8
950016,971.2,pi,8
950016,978.7,mppi,8
1000192,983.8,pi,8
1000192,987.3,mppi,8
