step,reward,eval_type,seed
250112,14.0,pi,8
250112,4.7,mppi,8
500224,13.1,pi,8
500224,8.9,mppi,8
750080,12.9,pi,8
750080,7.8,mppi,8
1000192,19.2,pi,8
1000192,35.4,mppi,8
1250048,10.5,pi,8
1250048,20.0,mppi,8
1500160,60.8,pi,8
1500160,54.8,mppi,8
1750016,1.3,pi,8
1750016,39.2,mppi,8
2000128,17.2,pi,8
2000128,17.3,mppi,8
2250240,174.2,pi,8
2250240,122.8,mppi,8
2500096,167.9,pi,8
2500096,142.9,mppi,8
2750208,188.7,pi,8
2750208,141.4,mppi,8
3000064,271.5,pi,8
3000064,187.3,mppi,8
3250176,249.6,pi,8
3250176,219.6,mppi,8
3500032,55.2,pi,8
3500032,43.0,mppi,8
3750144,188.5,pi,8
3750144,339.6,mppi,8
4000000,0.0,pi,8
4000000,93.3,mppi,8
4250112,61.0,pi,8
4250112,229.2,mppi,8
4500224,82.1,pi,8
4500224,104.2,mppi,8
4750080,2.0,pi,8
4750080,0.0,mppi,8
5000192,208.9,pi,8
5000192,273.7,mppi,8
5250048,0.0,pi,8
5250048,2.0,mppi,8
5500160,232.2,pi,8
5500160,140.8,mppi,8
5750016,198.8,pi,8
5750016,226.6,mppi,8
6000128,266.7,pi,8
6000128,363.5,mppi,8
6250240,327.2,pi,8
6250240,373.4,mppi,8
6500096,356.5,pi,8
6500096,332.1,mppi,8
6750208,371.1,pi,8
6750208,398.6,mppi,8
7000064,361.6,pi,8
7000064,390.2,mppi,8
7250176,336.4,pi,8
7250176,337.2,mppi,8
7500032,358.3,pi,8
7500032,376.3,mppi,8
7750144,381.3,pi,8
7750144,97.3,mppi,8
8000000,46.4,pi,8
8000000,313.1,mppi,8
8250112,2.0,pi,8
8250112,1.0,mppi,8
8500224,52.5,pi,8
8500224,172.2,mppi,8
8750080,351.7,pi,8
8750080,236.7,mppi,8
9000192,326.5,pi,8
9000192,371.2,mppi,8
9250048,385.1,pi,8
9250048,416.7,mppi,8
9500160,363.1,pi,8
9500160,346.2,mppi,8
9750016,354.6,pi,8
9750016,416.6,mppi,8
10000128,397.5,pi,8
10000128,427.4,mppi,8
