step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,0,0.0388,1.0000,0.0,204.6
50176,mppi,0,0.0780,1.0000,0.0,5.0
100096,pi,0,0.9962,1.0000,0.0,3.8
100096,mppi,0,0.9937,1.0000,0.0,6.333333333333333
150016,pi,0,0.5322,0.9986,0.4,5.0
150016,mppi,0,0.9887,1.0000,0.0,9.333333333333334
200192,pi,0,0.9984,1.0000,0.0,1.6
200192,mppi,0,0.6963,1.0000,0.0,0.0
250112,pi,0,0.7562,1.0000,0.0,24.4
250112,mppi,0,0.0487,1.0000,0.0,334.3333333333333
300032,pi,0,0.0786,0.9200,1.0,421.8
300032,mppi,0,0.2350,1.0000,0.0,354.6666666666667
350208,pi,0,0.0796,1.0000,0.0,7.6
350208,mppi,0,0.9927,1.0000,0.0,7.333333333333333
400128,pi,0,0.1318,1.0000,0.0,400.6
400128,mppi,0,0.0500,1.0000,0.0,723.3333333333334
450048,pi,0,0.0068,1.0000,0.0,200.0
450048,mppi,0,0.6717,1.0000,0.0,0.3333333333333333
500224,pi,0,0.0004,1.0000,0.0,800.0
500224,mppi,0,0.1023,1.0000,0.0,37.666666666666664
