step,reward,eval_type,seed
50176,794.2,pi,0
50176,931.2,mppi,0
50176,1759.5,jumpy,0
100096,540.8,pi,0
100096,674.6,mppi,0
100096,1555.5,jumpy,0
150016,876.3,pi,0
150016,1606.5,mppi,0
150016,1963.3,jumpy,0
200192,1171.9,pi,0
200192,1597.0,mppi,0
200192,2779.8,jumpy,0
250112,300.2,pi,0
250112,585.0,mppi,0
250112,1735.7,jumpy,0
300032,529.7,pi,0
300032,1387.2,mppi,0
300032,1970.9,jumpy,0
350208,918.8,pi,0
350208,372.0,mppi,0
350208,1438.3,jumpy,0
400128,545.8,pi,0
400128,290.0,mppi,0
400128,934.0,jumpy,0
450048,338.2,pi,0
450048,486.6,mppi,0
450048,1537.6,jumpy,0
500224,288.7,pi,0
500224,810.5,mppi,0
500224,1122.5,jumpy,0
