step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,2,0.1812,0.5852,3.4,0.0
50176,mppi,2,0.5290,0.9880,1.0,0.0
100096,pi,2,0.9510,1.0000,0.0,0.0
100096,mppi,2,0.9770,1.0000,0.0,0.0
150016,pi,2,1.0000,1.0000,0.0,0.0
150016,mppi,2,0.9473,0.9987,0.3333333333333333,0.0
200192,pi,2,0.9894,1.0000,0.0,0.0
200192,mppi,2,1.0000,1.0000,0.0,0.0
250112,pi,2,0.9954,1.0000,0.0,0.0
250112,mppi,2,0.9987,1.0000,0.0,0.0
300032,pi,2,0.7856,1.0000,0.0,0.0
300032,mppi,2,0.8667,1.0000,0.0,0.0
