step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,2,0.0470,0.9272,1.0,0.0
50176,mppi,2,0.1003,0.9683,0.3333333333333333,0.0
100096,pi,2,0.0164,1.0000,0.0,0.0
100096,mppi,2,0.0773,1.0000,0.0,0.0
150016,pi,2,0.0186,1.0000,0.0,0.0
150016,mppi,2,0.0243,1.0000,0.0,0.0
200192,pi,2,0.5632,1.0000,0.0,0.0
200192,mppi,2,0.0263,1.0000,0.0,0.0
250112,pi,2,0.0318,1.0000,0.0,0.0
250112,mppi,2,0.0173,0.3307,2.6666666666666665,0.0
300032,pi,2,0.3028,1.0000,0.0,0.0
300032,mppi,2,0.0860,1.0000,0.0,0.0
350208,pi,2,0.0172,1.0000,0.0,0.0
350208,mppi,2,0.0200,1.0000,0.0,0.0
400128,pi,2,0.0152,1.0000,0.0,0.0
400128,mppi,2,0.1363,1.0000,0.0,0.0
450048,pi,2,0.0080,0.6812,1.2,0.0
450048,mppi,2,0.0310,1.0000,0.0,0.0
500224,pi,2,0.1758,1.0000,0.0,0.0
500224,mppi,2,0.0070,0.9063,11.666666666666666,0.0
