step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,2,0.4282,1.0000,0.0,0.0
50176,mppi,2,0.2240,0.9490,3.3333333333333335,0.0
100096,pi,2,0.8252,1.0000,0.0,0.0
100096,mppi,2,0.6463,1.0000,0.0,0.0
150016,pi,2,0.9926,1.0000,0.0,0.0
150016,mppi,2,0.3433,0.9997,0.3333333333333333,0.0
200192,pi,2,0.9992,1.0000,0.0,0.0
200192,mppi,2,0.9680,1.0000,0.0,0.0
250112,pi,2,0.8850,0.9986,1.0,0.0
250112,mppi,2,0.6623,0.9863,3.3333333333333335,0.0
300032,pi,2,0.9745,1.0000,0.0,0.0
300032,mppi,2,0.7713,1.0000,0.0,0.0
350208,pi,2,0.6956,0.9944,1.6,0.0
350208,mppi,2,0.7397,1.0000,0.0,0.0
400128,pi,2,0.9880,1.0000,0.0,0.0
400128,mppi,2,0.9453,1.0000,0.0,0.0
450048,pi,2,1.0000,1.0000,0.0,0.0
450048,mppi,2,0.3387,0.9780,3.3333333333333335,0.0
500224,pi,2,0.9864,1.0000,0.0,0.0
500224,mppi,2,1.0000,1.0000,0.0,0.0
