step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,3,0.4908,0.9696,11.2,0.0
50176,mppi,3,0.4706,0.9924,0.75,0.0
100096,pi,3,0.8906,1.0000,0.0,0.0
100096,mppi,3,0.8709,0.9980,0.5,0.0
150016,pi,3,0.9618,1.0000,0.0,0.0
150016,mppi,3,0.6205,0.9996,0.125,0.0
200192,pi,3,0.0874,0.8412,5.8,0.0
200192,mppi,3,0.5815,0.9998,0.125,0.0
250112,pi,3,0.3210,1.0000,0.0,0.0
250112,mppi,3,0.5654,0.9922,2.875,0.0
300032,pi,3,0.9940,1.0000,0.0,0.0
300032,mppi,3,0.8548,1.0000,0.0,0.0
350208,pi,3,1.0000,1.0000,0.0,0.0
350208,mppi,3,0.7350,1.0000,0.0,0.0
400128,pi,3,0.7948,1.0000,0.0,0.0
400128,mppi,3,0.3321,1.0000,0.0,0.0
450048,pi,3,1.0000,1.0000,0.0,0.0
450048,mppi,3,0.3164,0.9998,0.125,0.0
500224,pi,3,1.0000,1.0000,0.0,0.0
500224,mppi,3,0.5905,0.9824,0.875,0.0
