step,reward,eval_type,seed
50176,22.8,pi,2
50176,8.0,mppi,2
100096,82.4,pi,2
100096,69.2,mppi,2
150016,164.3,pi,2
150016,231.0,mppi,2
200192,155.4,pi,2
200192,193.6,mppi,2
250112,301.5,pi,2
250112,355.5,mppi,2
300032,239.9,pi,2
300032,245.8,mppi,2
350208,246.1,pi,2
350208,234.8,mppi,2
400128,275.9,pi,2
400128,215.5,mppi,2
450048,252.9,pi,2
450048,384.1,mppi,2
500224,386.5,pi,2
500224,294.8,mppi,2
550144,235.1,pi,2
550144,274.5,mppi,2
600064,276.7,pi,2
600064,291.4,mppi,2
650240,222.5,pi,2
650240,260.2,mppi,2
700160,278.6,pi,2
700160,295.3,mppi,2
750080,469.5,pi,2
750080,371.1,mppi,2
800000,324.9,pi,2
800000,327.7,mppi,2
850176,403.0,pi,2
850176,367.0,mppi,2
900096,290.2,pi,2
900096,302.4,mppi,2
950016,389.9,pi,2
950016,254.7,mppi,2
1000192,336.6,pi,2
1000192,330.5,mppi,2
