step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,2,0.0172,0.1302,3.2,967.8
50176,mppi,2,0.0000,0.1051,2.375,1000.0
100096,pi,2,0.0528,0.3430,4.4,760.4
100096,mppi,2,0.0535,0.2451,3.75,756.875
150016,pi,2,0.1616,0.4006,4.4,464.4
150016,mppi,2,0.2323,0.5216,4.75,354.625
200192,pi,2,0.1418,0.4556,5.8,385.8
200192,mppi,2,0.1878,0.4184,4.0,473.25
250112,pi,2,0.2918,0.5264,5.8,272.8
250112,mppi,2,0.3535,0.5824,4.625,300.5
300032,pi,2,0.2266,0.4796,5.0,283.2
300032,mppi,2,0.2490,0.4949,4.625,370.875
350208,pi,2,0.2456,0.4810,5.0,411.6
350208,mppi,2,0.2278,0.5194,4.625,325.375
400128,pi,2,0.2698,0.5056,4.0,490.8
400128,mppi,2,0.2140,0.4579,4.5,340.625
450048,pi,2,0.2416,0.4858,5.0,436.4
450048,mppi,2,0.3816,0.5889,3.875,306.0
500224,pi,2,0.4046,0.6272,4.4,220.2
500224,mppi,2,0.2959,0.5204,4.75,262.625
550144,pi,2,0.2262,0.4658,4.0,467.2
550144,mppi,2,0.2734,0.5259,4.375,407.0
600064,pi,2,0.2890,0.5066,3.8,434.8
600064,mppi,2,0.3001,0.5075,3.875,410.875
650240,pi,2,0.2170,0.4740,4.0,486.2
650240,mppi,2,0.2546,0.5179,5.125,341.0
700160,pi,2,0.2766,0.5242,4.4,320.6
700160,mppi,2,0.3029,0.5544,4.0,347.625
750080,pi,2,0.4894,0.6854,4.2,104.2
750080,mppi,2,0.3768,0.6170,4.625,290.25
800000,pi,2,0.3432,0.5356,3.4,428.0
800000,mppi,2,0.3419,0.5716,4.0,372.5
850176,pi,2,0.4192,0.6290,3.6,264.0
850176,mppi,2,0.3928,0.6030,3.625,276.25
900096,pi,2,0.3076,0.5418,4.2,381.6
900096,mppi,2,0.3136,0.5331,3.875,436.75
950016,pi,2,0.4182,0.6320,4.4,218.8
950016,mppi,2,0.2602,0.4970,4.125,469.375
1000192,pi,2,0.3328,0.5618,4.4,384.0
1000192,mppi,2,0.3271,0.5316,3.625,457.125
