step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,0,0.0000,0.0000,0.0,1000.0
50176,mppi,0,0.0000,0.0000,0.0,1000.0
100096,pi,0,0.0016,0.0016,0.8,628.4
100096,mppi,0,0.0047,0.0047,1.6666666666666667,551.3333333333334
150016,pi,0,0.0002,0.0002,0.2,864.2
150016,mppi,0,0.0013,0.0013,0.6666666666666666,926.6666666666666
200192,pi,0,0.0008,0.0008,0.8,846.4
200192,mppi,0,0.0000,0.0000,0.0,1000.0
250112,pi,0,0.0036,0.0036,2.8,647.6
250112,mppi,0,0.0023,0.0023,1.6666666666666667,700.3333333333334
300032,pi,0,0.0002,0.0002,0.2,914.2
300032,mppi,0,0.0000,0.0000,0.0,1000.0
350208,pi,0,0.0040,0.0040,4.0,407.2
350208,mppi,0,0.0000,0.0000,0.0,1000.0
400128,pi,0,0.0000,0.0000,0.0,1000.0
400128,mppi,0,0.0000,0.0000,0.0,1000.0
450048,pi,0,0.0000,0.0000,0.0,1000.0
450048,mppi,0,0.0000,0.0000,0.0,1000.0
500224,pi,0,0.0002,0.0002,0.2,975.8
500224,mppi,0,0.0003,0.0003,0.3333333333333333,818.3333333333334
550144,pi,0,0.0000,0.0000,0.0,1000.0
550144,mppi,0,0.0000,0.0000,0.0,1000.0
600064,pi,0,0.0000,0.0000,0.0,1000.0
600064,mppi,0,0.0017,0.0017,0.3333333333333333,806.3333333333334
650240,pi,0,0.0016,0.0016,1.6,656.2
650240,mppi,0,0.0000,0.0000,0.0,1000.0
700160,pi,0,0.0034,0.0034,2.0,456.6
700160,mppi,0,0.0017,0.0017,0.6666666666666666,802.3333333333334
750080,pi,0,0.0022,0.0022,1.6,433.2
750080,mppi,0,0.0007,0.0007,0.3333333333333333,963.6666666666666
800000,pi,0,0.0038,0.0038,3.2,302.8
800000,mppi,0,0.0023,0.0023,1.3333333333333333,525.0
850176,pi,0,0.0056,0.0056,3.8,331.8
850176,mppi,0,0.0010,0.0010,1.0,797.3333333333334
900096,pi,0,0.0032,0.0032,2.0,507.6
900096,mppi,0,0.0020,0.0020,0.3333333333333333,750.3333333333334
950016,pi,0,0.0000,0.0000,0.0,1000.0
950016,mppi,0,0.0033,0.0033,1.3333333333333333,744.3333333333334
1000192,pi,0,0.0000,0.0000,0.0,1000.0
1000192,mppi,0,0.0023,0.0023,1.6666666666666667,656.6666666666666
