step,reward,eval_type,seed
50176,75.7,pi,3
50176,102.8,mppi,3
100096,176.0,pi,3
100096,156.5,mppi,3
150016,22.6,pi,3
150016,17.0,mppi,3
200192,0.0,pi,3
200192,0.2,mppi,3
250112,16.9,pi,3
250112,32.4,mppi,3
300032,342.1,pi,3
300032,355.2,mppi,3
350208,435.0,pi,3
350208,432.5,mppi,3
400128,494.7,pi,3
400128,220.4,mppi,3
450048,291.1,pi,3
450048,442.9,mppi,3
500224,497.2,pi,3
500224,443.6,mppi,3
550144,449.7,pi,3
550144,507.7,mppi,3
600064,0.0,pi,3
600064,0.4,mppi,3
650240,597.9,pi,3
650240,551.6,mppi,3
700160,292.5,pi,3
700160,570.5,mppi,3
750080,529.2,pi,3
750080,590.2,mppi,3
800000,633.6,pi,3
800000,614.1,mppi,3
850176,661.8,pi,3
850176,671.7,mppi,3
900096,652.8,pi,3
900096,719.2,mppi,3
950016,636.4,pi,3
950016,660.7,mppi,3
1000192,725.2,pi,3
1000192,753.8,mppi,3
